2025-06-15 11:59:46,848 - INFO - Запуск парсера с запросом: кран шаровой, max_products: 0, resume: False, links_file: None
2025-06-15 12:00:19,506 - INFO - Прокрутка страницы, собрано ссылок: 240
2025-06-15 12:00:20,069 - INFO - Собрано новых ссылок: 96, всего: 252
2025-06-15 12:00:20,070 - INFO - Прокрутка страницы, собрано ссылок: 252
2025-06-15 12:00:20,599 - INFO - Собрано новых ссылок: 96, всего: 264
2025-06-15 12:00:20,601 - INFO - Прокрутка страницы, собрано ссылок: 264
2025-06-15 12:00:21,124 - INFO - Собрано новых ссылок: 96, всего: 264
2025-06-15 12:00:21,126 - INFO - Прокрутка страницы, собрано ссылок: 264
2025-06-15 12:00:21,638 - INFO - Собрано новых ссылок: 96, всего: 276
2025-06-15 12:00:21,640 - INFO - Прокрутка страницы, собрано ссылок: 276
2025-06-15 12:00:22,178 - INFO - Собрано новых ссылок: 96, всего: 276
2025-06-15 12:00:22,179 - INFO - Прокрутка страницы, собрано ссылок: 276
2025-06-15 12:00:22,709 - INFO - Собрано новых ссылок: 96, всего: 276
2025-06-15 12:00:22,711 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:22,711 - INFO - Прокрутка страницы, собрано ссылок: 276
2025-06-15 12:00:23,221 - INFO - Собрано новых ссылок: 96, всего: 288
2025-06-15 12:00:23,223 - INFO - Прокрутка страницы, собрано ссылок: 288
2025-06-15 12:00:23,735 - INFO - Собрано новых ссылок: 96, всего: 300
2025-06-15 12:00:23,737 - INFO - Прокрутка страницы, собрано ссылок: 300
2025-06-15 12:00:24,264 - INFO - Собрано новых ссылок: 96, всего: 300
2025-06-15 12:00:24,266 - INFO - Прокрутка страницы, собрано ссылок: 300
2025-06-15 12:00:24,786 - INFO - Собрано новых ссылок: 96, всего: 312
2025-06-15 12:00:24,788 - INFO - Прокрутка страницы, собрано ссылок: 312
2025-06-15 12:00:25,311 - INFO - Собрано новых ссылок: 96, всего: 312
2025-06-15 12:00:25,314 - INFO - Прокрутка страницы, собрано ссылок: 312
2025-06-15 12:00:25,839 - INFO - Собрано новых ссылок: 96, всего: 312
2025-06-15 12:00:25,842 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:00:25,842 - INFO - Прокрутка страницы, собрано ссылок: 312
2025-06-15 12:00:26,365 - INFO - Собрано новых ссылок: 96, всего: 324
2025-06-15 12:00:26,368 - INFO - Прокрутка страницы, собрано ссылок: 324
2025-06-15 12:00:26,878 - INFO - Собрано новых ссылок: 96, всего: 336
2025-06-15 12:00:26,879 - INFO - Прокрутка страницы, собрано ссылок: 336
2025-06-15 12:00:27,403 - INFO - Собрано новых ссылок: 96, всего: 336
2025-06-15 12:00:27,405 - INFO - Прокрутка страницы, собрано ссылок: 336
2025-06-15 12:00:27,927 - INFO - Собрано новых ссылок: 96, всего: 348
2025-06-15 12:00:27,930 - INFO - Прокрутка страницы, собрано ссылок: 348
2025-06-15 12:00:28,455 - INFO - Собрано новых ссылок: 96, всего: 348
2025-06-15 12:00:28,459 - INFO - Прокрутка страницы, собрано ссылок: 348
2025-06-15 12:00:28,985 - INFO - Собрано новых ссылок: 96, всего: 348
